epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,23.2181,0.54679,0.83218,1,0.37259,0.000551291,0.000551291,0.000551291
2,44.1212,0.38563,0.88253,1,0.2683,0.000997369,0.000997369,0.000997369
3,65.4459,0.33858,0.87957,1,0.27976,0.00133342,0.00133342,0.00133342
4,86.8679,0.32581,0.9003,1,0.24374,0.0011719,0.0011719,0.0011719
5,107.802,0.30634,0.88796,1,0.25884,0.00100687,0.00100687,0.00100687
6,128.397,0.28862,0.9156,1,0.20619,0.000841835,0.000841835,0.000841835
7,149.489,0.26987,0.91856,1,0.19688,0.000676802,0.000676802,0.000676802
8,170.861,0.25448,0.90276,1,0.22038,0.000511769,0.000511769,0.000511769
9,191.402,0.24464,0.91658,1,0.20183,0.000346736,0.000346736,0.000346736
10,212.117,0.24117,0.91115,1,0.19964,0.000181703,0.000181703,0.000181703
