epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,33.2373,0.5273,0.84452,1,0.35991,0.000553479,0.000553479,0.000553479
2,62.1381,0.39818,0.88401,1,0.26463,0.00099934,0.00099934,0.00099934
3,87.3489,0.34911,0.89536,1,0.27416,0.00133518,0.00133518,0.00133518
4,112.152,0.33628,0.89783,1,0.25319,0.0011719,0.0011719,0.0011719
5,137.412,0.31693,0.87907,1,0.27121,0.00100687,0.00100687,0.00100687
6,162.726,0.30151,0.91313,1,0.20456,0.000841835,0.000841835,0.000841835
7,188.296,0.28998,0.91461,1,0.20438,0.000676802,0.000676802,0.000676802
8,213.679,0.27109,0.90622,1,0.22407,0.000511769,0.000511769,0.000511769
9,240.288,0.25879,0.92004,1,0.19755,0.000346736,0.000346736,0.000346736
10,265.294,0.25625,0.92053,1,0.19635,0.000181703,0.000181703,0.000181703
