epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,25.0984,1.38073,0.67325,0.99112,0.90439,0.000330709,0.000330709,0.000330709
2,45.9303,0.89309,0.72804,0.99358,0.76742,0.000598302,0.000598302,0.000598302
3,67.0983,0.77189,0.77048,0.99803,0.6378,0.000799895,0.000799895,0.000799895
4,88.4376,0.71324,0.78924,0.99506,0.5919,0.000703,0.000703,0.000703
5,109.879,0.65396,0.78825,0.99753,0.58081,0.000604,0.000604,0.000604
6,130.243,0.62443,0.79418,0.99753,0.53498,0.000505,0.000505,0.000505
7,150.703,0.5896,0.81441,0.99852,0.50711,0.000406,0.000406,0.000406
8,172.345,0.56316,0.81935,0.99901,0.48987,0.000307,0.000307,0.000307
9,192.425,0.53296,0.81984,0.99803,0.47763,0.000208,0.000208,0.000208
10,213.692,0.51208,0.83021,0.99852,0.4669,0.000109,0.000109,0.000109
