acuracia,precisao,revocacao,f1,especificidade,experimento,modelo,epochs,batch,lr0
0.920533070088845,0.9221601494384853,0.920533070088845,0.9201913033342339,0.8747300215982722,base,yolov8n-cls.pt,10,32,0.01
0.920533070088845,0.9221601494384853,0.920533070088845,0.9201913033342339,0.8747300215982722,epochs_5,yolov8n-cls.pt,10,32,0.01
0.9234945705824285,0.9248470515855083,0.9234945705824285,0.923200933597631,0.8812095032397408,epochs_20,yolov8n-cls.pt,15,32,0.01
0.9195459032576505,0.9197298497470048,0.9195459032576505,0.9194200529729971,0.8952483801295896,batch_16,yolov8n-cls.pt,10,16,0.01
0.918558736426456,0.919509600490584,0.918558736426456,0.918294047771668,0.8801295896328294,batch_64,yolov8n-cls.pt,10,64,0.01
0.920533070088845,0.9221601494384853,0.920533070088845,0.9201913033342339,0.8747300215982722,lr_0001,yolov8n-cls.pt,10,32,0.001
0.920533070088845,0.9221601494384853,0.920533070088845,0.9201913033342339,0.8747300215982722,lr_005,yolov8n-cls.pt,10,32,0.05
0.9264560710760118,0.9265612154824865,0.9264560710760118,0.9263660650991488,0.906047516198704,modelo_s,yolov8s-cls.pt,10,32,0.01
